content_id,content,subject,sentiment_value,sentiment_word
9f687dda6eb21354,相对性价比高一点,,1,
da41d1cef51ff52c,外形可以,,1,
1bfe09d86a8eab78,做工精良，时尚，适合年轻人,,1,
bbd717ca5e4c5175,外形时尚，操控享受，科技感十足，灵活方便,,1,
623e41510d3836d0,品牌优势,,1,
804724ceb7cf661a,四个环,,1,
b122367ae72052f5,牌子老,,1,
55e4916bfee4b2a3,为了块牌子,,1,
55e4916bfee4b2a3,为了块牌子,,1,
623e41510d3836d0,品牌优势,,1,
1bfe09d86a8eab78,做工精良，时尚，适合年轻人,,1,
bbd717ca5e4c5175,外形时尚，操控享受，科技感十足，灵活方便,,1,
804724ceb7cf661a,四个环,,1,
b122367ae72052f5,牌子老,,1,
55e4916bfee4b2a3,为了块牌子,,1,
623e41510d3836d0,品牌优势,,1,
1bfe09d86a8eab78,做工精良，时尚，适合年轻人,,1,
bbd717ca5e4c5175,外形时尚，操控享受，科技感十足，灵活方便,,1,
804724ceb7cf661a,四个环,,1,
b122367ae72052f5,牌子老,,1,
da41d1cef51ff52c,外形可以,,1,
9f687dda6eb21354,相对性价比高一点,,1,
de72abe4dd858d65,外观不错，空间宽敞,,1,
081a8eeea52ee98f,款式还行,,1,
70a1c28b0dc4a59c,动力性价比高,,1,
bd657cfded68c4c2,动力足,,1,
832d7ce4f937c503,就剩外管了,,1,
78b3f659c0a37561,车重，稳，安全系数高,,1,
4b970c550eb1a89f,稳重大方，拉风招眼。,,1,
1f295c12fcef56a3,动力非常足,,1,
e48c536d17a99cb5,稳定性,,1,
835e244f135c8fa9,只有造型ok,,1,
8279c8f30950933a,车身稳重，驾乘舒适,,1,
b9054aa75f598db6,外型时尚，内饰精致，乘坐舒适、稳重,,1,
bd1a0541265eb529,外观很丑，不黄不暴力,,1,
4c72b4e237c6f4e3,外观不用说了，车重，胎宽，稳定性好，内部宽敞,,1,
54be126b0356d211,地盘还算稳~~油耗不高,,1,
4dc4f70fc422faaa,外观流线好看，空间够大，2705轴距，1379后尾箱,,1,
023c759d6a9c9d3d,酷呆了,,1,
9978c2abe40dc753,外观时尚个性，真的很拉风。,,1,
a80f9113dbeb4b3f,外观时尚个性，运动味很强。,,1,
c4536f3dbdd99c1f,车的内饰外观就不多说了，这些都是大家有目共睹的。,,1,
1f28961480a3d3b0,外观拉风，，没得说，，，开了。。1200，，没什么毛病，，，整体…,,1,
be404aa9341bc874,外观真是很拉风，有个性，很像小跑。,,1,
033b201299306290,外观时尚拉风，看着很有个性，不像以往车子给人的感觉，看到看够…,,1,
4dc4f70fc422faaa,外观流线好看，空间够大，2705轴距，1379后尾箱,,1,
023c759d6a9c9d3d,酷呆了,,1,
9978c2abe40dc753,外观时尚个性，真的很拉风。,,1,
a80f9113dbeb4b3f,外观时尚个性，运动味很强。,,1,
c4536f3dbdd99c1f,车的内饰外观就不多说了，这些都是大家有目共睹的。,,1,
eaa9c62411fe859b,外观拉风，，没得说，，，开了。。1200，，没什么毛病，，，整体感觉不错，，，内饰很满意……性能也优越其它中级车,,1,
be404aa9341bc874,外观真是很拉风，有个性，很像小跑。,,1,
f76df79bf5d4ce4f,外观时尚拉风，看着很有个性，不像以往车子给人的感觉，看到看够了，第一次见它就给人一种全新的感觉。,,1,
432dd5bbddc93f87,时尚个性，又拉风。,,1,
ee619110d96cf665,外观实在是太棒了，漂亮，个性，时尚又拉风。,,1,
328eedf297e90ed7,配置齐全（顶配），技术成熟，做工扎实，关键的地方如悬挂、底盘、刹车舍得给好东西。,,1,
7bdf32616c899cf1,我喜欢MG6的外观的设计，这个就不多说了，外观大家都知道的，挺酷的,,1,
f9052cc372ac3dc6,外观设计的真是很不错，看过的朋友就没有说不喜欢的。,,1,
108e2025b128ad33,内部空间大，外观时尚个性,,1,
1c150ecb5f560b8a,外观超酷的一款小车。同级车中觉得小六的外观是最亮的了。,,1,
747c3929d0f84010,耐看，省油，空间大，乘坐舒服，保养便宜。,,1,
7a81a31848429669,外形内饰都还不错,,1,
264eab87c51d316e,日泵车,,1,
7368ee92fa295dfe,省心省力,,1,
710f675d5a17e00c,大方，舒适,,1,
2926b370a358853f,前脸大嘴巴让人矢望!!!,,1,
f0cb0dd58b040ff5,处了前脸很大嘴巴! 其它还不错!,,1,
52b6360d2f0a1256,内饰太好,,1,
0d431056ab7e18f2,处了前脸我都不错!,,1,
349301d6b21e6a7b,表现稳定、动力好、手自一体操控感最佳,,1,
0e1cfdb8248af8e6,大气，超赞,,1,
5d2e8a339089d539,烧机油,,1,
